Billing Account-Id,Booking Account-Id,Date,Payments,Payment mode,Payment Txn Id,International,Remarks,InvoiceId,Taxable value,Tax amount,Invoice amount
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,3182763,02 Sep 2024,"12,000.00",CASH,,false,,7263,"4,424.31",420.70,"4,845.04"
,3190301,05 Sep 2024,220.00,CASH,,false,,7287,210.00,10.50,220.50
,3189852,07 Sep 2024,"7,207.00",CASH,,false,,7304,"6,435.02",772.24,"7,207.24"
,3203055,10 Sep 2024,"1,169.00",CASH,,false,,7338,"1,113.00",55.68,"1,168.68"
,3208286,13 Sep 2024,"13,000.00",CASH,,false,,7364,"9,062.46","1,044.16","10,106.64"
,3215869,15 Sep 2024,325.00,CASH,,false,,7370,309.75,15.50,325.25
,3224915,18 Sep 2024,66.00,CASH,,false,,7396,63.00,3.14,66.15
,3227179,18 Sep 2024,"3,200.00",CASH,,false,,7399,"2,857.14",342.86,"3,200.00"
,3212709,20 Sep 2024,854.00,CASH,,false,,7426,"5,348.94",584.96,"5,933.90"
,3232209,21 Sep 2024,"13,547.00",CASH,,false,,7430,"13,171.25","1,505.30","14,676.58"
,3232209,21 Sep 2024,"1,000.00",CASH,,false,,7430,"13,171.25","1,505.30","14,676.58"
,3239053,28 Sep 2024,784.00,CASH,,false,,7477,"7,748.50",929.84,"8,678.34"
,3191098,04 Sep 2024,209.48,CASH,POS - RESTAURANT - 4003-20240904 - Cash -  ,false,,,-,-,-
,3205611,10 Sep 2024,"1,543.50",CASH,POS - RESTAURANT - 4032-20240910 - Cash -  ,false,,,-,-,-
,3209466,11 Sep 2024,385.88,CASH,POS - RESTAURANT - 4034-20240911 - Cash -  ,false,,,-,-,-
,3210876,12 Sep 2024,292.16,CASH,POS - RESTAURANT - 4039-20240912 - Cash -  ,false,,,-,-,-
,3210876,12 Sep 2024,"1,157.63",CASH,POS - RESTAURANT - 4040-20240912 - Cash -  ,false,,,-,-,-
,3221571,15 Sep 2024,"1,819.14",CASH,POS - RESTAURANT - 4052-20240915 - Cash -  ,false,,,-,-,-
,3221571,15 Sep 2024,"1,598.64",CASH,POS - RESTAURANT - 4053-20240915 - Cash -  ,false,,,-,-,-
,3230287,18 Sep 2024,525.91,CASH,POS - RESTAURANT - 4068-20240918 - Cash -  ,false,,,-,-,-
,3231691,19 Sep 2024,"1,797.08",CASH,POS - RESTAURANT - 4070-20240919 - Cash -  ,false,,,-,-,-
,3233921,20 Sep 2024,"1,157.63",CASH,POS - RESTAURANT - 4072-20240920 - Cash -  ,false,,,-,-,-
,3233921,20 Sep 2024,358.32,CASH,POS - RESTAURANT - 4073-20240920 - Cash -  ,false,,,-,-,-
,3254830,27 Sep 2024,435.49,CASH,POS - RESTAURANT - 4098-20240927 - Cash -  ,false,,,-,-,-
,3254830,27 Sep 2024,848.93,CASH,POS - RESTAURANT - 4102-20240927 - Cash -  ,false,,,-,-,-
,,,"65,501.79",CASH,,,,,,,
,,,,,,,,,,,
,3173930,01 Sep 2024,"5,553.70",CREDIT_CARD,KMLBVP,false,25816502,7252,"5,013.42",540.28,"5,553.70"
